table_schema,table_name,table_type
public,type_documents,BASE TABLE
public,type_documents_aud,BASE TABLE
public,type_filter_definition,BASE TABLE
public,type_filter_template,BASE TABLE
public,type_impacts,BASE TABLE
public,type_impacts_aud,BASE TABLE
public,type_spares,BASE TABLE
public,type_spares_aud,BASE TABLE
public,unit,BASE TABLE
public,unit_aud,BASE TABLE
public,unit_type,BASE TABLE
public,user_group,BASE TABLE
public,user_group_jhi_users,BASE TABLE
public,viewer_appearance,BASE TABLE
public,viewer_settings,BASE TABLE
public,viewpoint,BASE TABLE
public,viewpoint_models,BASE TABLE
public,viewpoint_user_favorite,BASE TABLE
public,viewpoint_user_group_favorite,BASE TABLE
public,viewpoint_user_groups,BASE TABLE
public,viewpoint_users,BASE TABLE
public,viewpoint_viewer_appearances,BASE TABLE
public,warranty_reminder,BASE TABLE
public,warranty_reminder_recipient,BASE TABLE
public,xml_import_entry,BASE TABLE
public,zone,BASE TABLE
public,zone_attributes,BASE TABLE
public,zone_attributes_aud,BASE TABLE
public,zone_aud,BASE TABLE
public,zone_documents,BASE TABLE
public,zone_documents_aud,BASE TABLE
public,zone_impacts,BASE TABLE
public,zone_impacts_aud,BASE TABLE
