table_schema,table_name,index_name,index_def
public,attribute,idx_speed_attribute_owning_facility_id,CREATE INDEX idx_speed_attribute_owning_facility_id ON public.attribute USING btree (owning_facility_id)
public,attribute,idx_speed_attribute_property_id,CREATE INDEX idx_speed_attribute_property_id ON public.attribute USING btree (property_id)
public,attribute,idx_speed_attribute_unit_id,CREATE INDEX idx_speed_attribute_unit_id ON public.attribute USING btree (unit_id)
public,attribute,pk_attribute,CREATE UNIQUE INDEX pk_attribute ON public.attribute USING btree (id)
public,attribute_aud,idx_attribute_aud_id,CREATE INDEX idx_attribute_aud_id ON public.attribute_aud USING btree (id)
public,attribute_aud,idx_attribute_aud_revtype,CREATE INDEX idx_attribute_aud_revtype ON public.attribute_aud USING btree (revtype)
public,attribute_aud,idx_speed_attribute_aud_created_by_id,CREATE INDEX idx_speed_attribute_aud_created_by_id ON public.attribute_aud USING btree (created_by_id)
public,attribute_aud,idx_speed_attribute_aud_owning_facility_id,CREATE INDEX idx_speed_attribute_aud_owning_facility_id ON public.attribute_aud USING btree (owning_facility_id)
public,attribute_aud,idx_speed_attribute_aud_property_id,CREATE INDEX idx_speed_attribute_aud_property_id ON public.attribute_aud USING btree (property_id)
public,attribute_aud,idx_speed_attribute_aud_unit_id,CREATE INDEX idx_speed_attribute_aud_unit_id ON public.attribute_aud USING btree (unit_id)
public,attribute_name_materialized_view_84787501,idx_mv_name_trgm_84787501,CREATE INDEX idx_mv_name_trgm_84787501 ON public.attribute_name_materialized_view_84787501 USING gist (name gist_trgm_ops)
public,attribute_name_materialized_view_84787501,idx_mv_owning_facility_id_84787501,CREATE INDEX idx_mv_owning_facility_id_84787501 ON public.attribute_name_materialized_view_84787501 USING btree (owning_facility_id)
public,attribute_name_materialized_view_84787601,idx_mv_name_trgm_84787601,CREATE INDEX idx_mv_name_trgm_84787601 ON public.attribute_name_materialized_view_84787601 USING gist (name gist_trgm_ops)
public,attribute_name_materialized_view_84787601,idx_mv_owning_facility_id_84787601,CREATE INDEX idx_mv_owning_facility_id_84787601 ON public.attribute_name_materialized_view_84787601 USING btree (owning_facility_id)
public,background_task,background_task_name_key,CREATE UNIQUE INDEX background_task_name_key ON public.background_task USING btree (name)
public,background_task,pk_background_task,CREATE UNIQUE INDEX pk_background_task ON public.background_task USING btree (id)
public,bcf_bitmap,bcf_bitmap_pkey,CREATE UNIQUE INDEX bcf_bitmap_pkey ON public.bcf_bitmap USING btree (id)
public,bcf_clipping_plane,bcf_clipping_plane_pkey,CREATE UNIQUE INDEX bcf_clipping_plane_pkey ON public.bcf_clipping_plane USING btree (id)
public,bcf_coloring,bcf_coloring_pkey,CREATE UNIQUE INDEX bcf_coloring_pkey ON public.bcf_coloring USING btree (id)
public,bcf_comment,bcf_comment_pkey,CREATE UNIQUE INDEX bcf_comment_pkey ON public.bcf_comment USING btree (id)
public,bcf_comment_event,bcf_comment_event_pkey,CREATE UNIQUE INDEX bcf_comment_event_pkey ON public.bcf_comment_event USING btree (id)
public,bcf_comment_event_container,bcf_comment_event_container_pkey,CREATE UNIQUE INDEX bcf_comment_event_container_pkey ON public.bcf_comment_event_container USING btree (id)
public,bcf_component,bcf_component_pkey,CREATE UNIQUE INDEX bcf_component_pkey ON public.bcf_component USING btree (id)
public,bcf_components_container,bcf_components_container_pkey,CREATE UNIQUE INDEX bcf_components_container_pkey ON public.bcf_components_container USING btree (id)
public,bcf_direction,bcf_direction_pkey,CREATE UNIQUE INDEX bcf_direction_pkey ON public.bcf_direction USING btree (id)
public,bcf_document,bcf_document_pkey,CREATE UNIQUE INDEX bcf_document_pkey ON public.bcf_document USING btree (id)
public,bcf_document_reference,bcf_document_reference_pkey,CREATE UNIQUE INDEX bcf_document_reference_pkey ON public.bcf_document_reference USING btree (id)
public,bcf_file,bcf_file_pkey,CREATE UNIQUE INDEX bcf_file_pkey ON public.bcf_file USING btree (id)
public,bcf_line,bcf_line_pkey,CREATE UNIQUE INDEX bcf_line_pkey ON public.bcf_line USING btree (id)
public,bcf_orthogonal_camera,bcf_orthogonal_camera_pkey,CREATE UNIQUE INDEX bcf_orthogonal_camera_pkey ON public.bcf_orthogonal_camera USING btree (id)
public,bcf_perspective_camera,bcf_perspective_camera_pkey,CREATE UNIQUE INDEX bcf_perspective_camera_pkey ON public.bcf_perspective_camera USING btree (id)
public,bcf_point,bcf_point_pkey,CREATE UNIQUE INDEX bcf_point_pkey ON public.bcf_point USING btree (id)
public,bcf_project,bcf_project_pkey,CREATE UNIQUE INDEX bcf_project_pkey ON public.bcf_project USING btree (id)
public,bcf_project,uk_bcf_project_project_id,CREATE UNIQUE INDEX uk_bcf_project_project_id ON public.bcf_project USING btree (project_id)
public,bcf_project_extensions,bcf_project_extensions_pkey,CREATE UNIQUE INDEX bcf_project_extensions_pkey ON public.bcf_project_extensions USING btree (id)
public,bcf_snapshot,bcf_snapshot_pkey,CREATE UNIQUE INDEX bcf_snapshot_pkey ON public.bcf_snapshot USING btree (id)
public,bcf_snippet,bcf_snippet_pkey,CREATE UNIQUE INDEX bcf_snippet_pkey ON public.bcf_snippet USING btree (id)
public,bcf_topic,bcf_topic_pkey,CREATE UNIQUE INDEX bcf_topic_pkey ON public.bcf_topic USING btree (id)
public,bcf_topic_event,bcf_topic_event_pkey,CREATE UNIQUE INDEX bcf_topic_event_pkey ON public.bcf_topic_event USING btree (id)
public,bcf_topic_event_container,bcf_topic_event_container_pkey,CREATE UNIQUE INDEX bcf_topic_event_container_pkey ON public.bcf_topic_event_container USING btree (id)
public,bcf_view_point,bcf_view_point_pkey,CREATE UNIQUE INDEX bcf_view_point_pkey ON public.bcf_view_point USING btree (id)
public,bcf_visibility,bcf_visibility_pkey,CREATE UNIQUE INDEX bcf_visibility_pkey ON public.bcf_visibility USING btree (id)
public,cobie_attributes,pk_cobie_attributes,CREATE UNIQUE INDEX pk_cobie_attributes ON public.cobie_attributes USING btree (id)
public,cobie_attributes,unique_cobie_attributes_idp_cobie_attributes_id_attribute,"CREATE UNIQUE INDEX unique_cobie_attributes_idp_cobie_attributes_id_attribute ON public.cobie_attributes USING btree (idp_cobie_attributes_id, attribute)"
public,cobie_diff,cobie_diff_pkey,CREATE UNIQUE INDEX cobie_diff_pkey ON public.cobie_diff USING btree (id)
public,cobie_diff,idx_cobie_diff_entity_model_file_mod_id,"CREATE INDEX idx_cobie_diff_entity_model_file_mod_id ON public.cobie_diff USING btree (cobie_entity, model_id, file_operation_id, modification, id)"
public,cobie_diff,idx_cobie_diff_entity_model_file_mod_id_helper_id,"CREATE INDEX idx_cobie_diff_entity_model_file_mod_id_helper_id ON public.cobie_diff USING btree (cobie_entity, model_id, file_operation_id, modification, id, helper_id)"
public,cobie_diff,idx_speed_cobie_diff_cobie_entity_modification_file_operation_i,"CREATE INDEX idx_speed_cobie_diff_cobie_entity_modification_file_operation_i ON public.cobie_diff USING btree (cobie_entity, modification, file_operation_id)"
public,cobie_diff_summary,cobie_diff_summary_pkey,CREATE UNIQUE INDEX cobie_diff_summary_pkey ON public.cobie_diff_summary USING btree (id)
public,connection,idx_speed_connection_component_id,CREATE INDEX idx_speed_connection_component_id ON public.connection USING btree (component_id)
public,connection,idx_speed_connection_created_by_id,CREATE INDEX idx_speed_connection_created_by_id ON public.connection USING btree (created_by_id)
public,connection,idx_speed_connection_ext_identifier_owning_facility_id,"CREATE INDEX idx_speed_connection_ext_identifier_owning_facility_id ON public.connection USING btree (ext_identifier, owning_facility_id)"
public,connection,idx_speed_connection_model_id,CREATE INDEX idx_speed_connection_model_id ON public.connection USING btree (model_id)
public,connection,idx_speed_connection_related_component_id,CREATE INDEX idx_speed_connection_related_component_id ON public.connection USING btree (related_component_id)
public,connection,idx_speed_connection_system_id,CREATE INDEX idx_speed_connection_system_id ON public.connection USING btree (system_id)
public,connection,pk_connection,CREATE UNIQUE INDEX pk_connection ON public.connection USING btree (id)
public,connection_attributes,connection_attributes_pkey,"CREATE UNIQUE INDEX connection_attributes_pkey ON public.connection_attributes USING btree (connections_id, attributes_id)"
public,connection_attributes,idx_speed_connection_attributes_attributes_id,CREATE INDEX idx_speed_connection_attributes_attributes_id ON public.connection_attributes USING btree (attributes_id)
public,connection_attributes,idx_speed_connection_attributes_connections_id,CREATE INDEX idx_speed_connection_attributes_connections_id ON public.connection_attributes USING btree (connections_id)
public,connection_attributes_aud,connection_attributes_aud_pkey,"CREATE UNIQUE INDEX connection_attributes_aud_pkey ON public.connection_attributes_aud USING btree (connections_id, attributes_id, rev)"
public,connection_attributes_aud,idx_connection_attributes_aud_revtype,CREATE INDEX idx_connection_attributes_aud_revtype ON public.connection_attributes_aud USING btree (revtype)
public,connection_aud,idx_connection_aud_id,CREATE INDEX idx_connection_aud_id ON public.connection_aud USING btree (id)
public,connection_aud,idx_connection_aud_rev,CREATE INDEX idx_connection_aud_rev ON public.connection_aud USING btree (rev)
public,connection_aud,idx_connection_aud_revend,CREATE INDEX idx_connection_aud_revend ON public.connection_aud USING btree (revend)
public,connection_aud,idx_connection_aud_revtype,CREATE INDEX idx_connection_aud_revtype ON public.connection_aud USING btree (revtype)
public,connection_aud,idx_speed_connection_aud_component_id,CREATE INDEX idx_speed_connection_aud_component_id ON public.connection_aud USING btree (component_id)
public,connection_aud,idx_speed_connection_aud_created_by_id,CREATE INDEX idx_speed_connection_aud_created_by_id ON public.connection_aud USING btree (created_by_id)
public,connection_aud,idx_speed_connection_aud_owning_facility_id,CREATE INDEX idx_speed_connection_aud_owning_facility_id ON public.connection_aud USING btree (owning_facility_id)
public,connection_aud,idx_speed_connection_aud_related_component_id,CREATE INDEX idx_speed_connection_aud_related_component_id ON public.connection_aud USING btree (related_component_id)
public,connection_aud,idx_speed_connection_aud_system_id,CREATE INDEX idx_speed_connection_aud_system_id ON public.connection_aud USING btree (system_id)
public,connection_documents,connection_documents_pkey,"CREATE UNIQUE INDEX connection_documents_pkey ON public.connection_documents USING btree (connections_id, documents_id)"
public,connection_documents,idx_speed_connection_documents_connections_id,CREATE INDEX idx_speed_connection_documents_connections_id ON public.connection_documents USING btree (connections_id)
public,connection_documents,idx_speed_connection_documents_documents_id,CREATE INDEX idx_speed_connection_documents_documents_id ON public.connection_documents USING btree (documents_id)
public,connection_documents_aud,connection_documents_aud_pkey,"CREATE UNIQUE INDEX connection_documents_aud_pkey ON public.connection_documents_aud USING btree (connections_id, documents_id, rev)"
public,connection_documents_aud,idx_connection_documents_aud_revtype,CREATE INDEX idx_connection_documents_aud_revtype ON public.connection_documents_aud USING btree (revtype)
public,connection_impacts,connection_impacts_pkey,"CREATE UNIQUE INDEX connection_impacts_pkey ON public.connection_impacts USING btree (connections_id, impacts_id)"
public,connection_impacts_aud,connection_impacts_aud_pkey,"CREATE UNIQUE INDEX connection_impacts_aud_pkey ON public.connection_impacts_aud USING btree (connections_id, impacts_id, rev)"
public,connection_impacts_aud,idx_connection_impacts_aud_revtype,CREATE INDEX idx_connection_impacts_aud_revtype ON public.connection_impacts_aud USING btree (revtype)
public,contact,idx_speed_contact_ext_identifier_project_id,"CREATE INDEX idx_speed_contact_ext_identifier_project_id ON public.contact USING btree (ext_identifier, project_id)"
public,contact,idx_speed_contact_model_id,CREATE INDEX idx_speed_contact_model_id ON public.contact USING btree (model_id)
